quote_date,item_id,p_mean,p25,p_median,p75,itemName,date,dateStata,dateISO,obs,year,month,quarter
201009,430138,307.97189,69,184.45,383,.,272,01-09-2010,2010-09-01,108500,2010,9,3
201010,430138,263.0097,65,116.99,289.98999,.,273,01-10-2010,2010-10-01,109466,2010,10,4
201011,430138,270.34848,76.994995,129.99001,284.495,.,274,01-11-2010,2010-11-01,109784,2010,11,4
201012,430138,305.49149,76.994995,129.99001,309.815,.,275,01-12-2010,2010-12-01,110303,2010,12,4
201101,430138,289.88391,74.989998,132.75999,299.63,.,276,01-01-2011,2011-01-01,107592,2011,1,1
201102,430138,274.24014,79.989998,164.99001,265,.,277,01-02-2011,2011-02-01,107243,2011,2,1
201103,430138,314.06635,95,184,369,.,278,01-03-2011,2011-03-01,111703,2011,3,1
201104,430138,314.74448,79.989998,199,400,.,279,01-04-2011,2011-04-01,110135,2011,4,2
201105,430138,313.30231,79.989998,194,392.39999,.,280,01-05-2011,2011-05-01,110905,2011,5,2
201106,430138,342.0741,79.989998,199,399.5,.,281,01-06-2011,2011-06-01,110923,2011,6,2
201107,430138,302.99857,79.989998,199,412,.,282,01-07-2011,2011-07-01,110938,2011,7,3
201108,430138,284.03546,89.989998,170,320,.,283,01-08-2011,2011-08-01,111624,2011,8,3
201109,430138,297.53265,89.989998,168.39999,353.5,.,284,01-09-2011,2011-09-01,112468,2011,9,3
201110,430138,274.64203,95.989998,149,275,.,285,01-10-2011,2011-10-01,112689,2011,10,4
201111,430138,267.70718,95.489998,149,277,.,286,01-11-2011,2011-11-01,112558,2011,11,4
201112,430138,277.85138,95.989998,149,275,.,287,01-12-2011,2011-12-01,113770,2011,12,4
201201,430138,262.50931,54.990002,151.19501,269.95001,.,288,01-01-2012,2012-01-01,112915,2012,1,1
201202,430138,288.46484,89.989998,221.995,380,.,289,01-02-2012,2012-02-01,109908,2012,2,1
201203,430138,294.79068,79.989998,199,359,.,290,01-03-2012,2012-03-01,112591,2012,3,1
201204,430138,266.85486,59.990002,174.995,349,.,291,01-04-2012,2012-04-01,111722,2012,4,2
201205,430138,265.00861,59.990002,199,279.98999,.,292,01-05-2012,2012-05-01,112977,2012,5,2
201206,430138,273.46542,59.990002,199,329.98999,.,293,01-06-2012,2012-06-01,113464,2012,6,2
201207,430138,277.89993,89.989998,199,347,.,294,01-07-2012,2012-07-01,112979,2012,7,3
201208,430138,285.86884,90,199,345,.,295,01-08-2012,2012-08-01,113779,2012,8,3
201209,430138,325.13092,89.989998,199,351.5,.,296,01-09-2012,2012-09-01,113529,2012,9,3
201210,430138,312.87112,89.989998,199,349,.,297,01-10-2012,2012-10-01,113193,2012,10,4
201211,430138,289.20209,70,199,320,.,298,01-11-2012,2012-11-01,112322,2012,11,4
201212,430138,338.12976,69,225,399,.,299,01-12-2012,2012-12-01,112522,2012,12,4
201301,430138,272.97458,59,199,299,.,300,01-01-2013,2013-01-01,112470,2013,1,1
201302,430138,298.4744,60,225,320,.,301,01-02-2013,2013-02-01,108915,2013,2,1
201303,430138,323.30115,69,225,329.98999,.,302,01-03-2013,2013-03-01,112073,2013,3,1
201304,430138,302.00836,60,225,329.98999,.,303,01-04-2013,2013-04-01,111932,2013,4,2
201305,430138,319.00635,80,225,354,.,304,01-05-2013,2013-05-01,112460,2013,5,2
201306,430138,309.90112,80,225,329.98999,.,305,01-06-2013,2013-06-01,113182,2013,6,2
201307,430138,313.68756,60,225,379,.,306,01-07-2013,2013-07-01,110722,2013,7,3
201308,430138,318.14877,55,225,379,.,307,01-08-2013,2013-08-01,111818,2013,8,3
201309,430138,328.46161,59.5,249.5,366.5,.,308,01-09-2013,2013-09-01,111942,2013,9,3
201310,430138,307.77277,89.994995,229,341.995,.,309,01-10-2013,2013-10-01,112357,2013,10,4
201311,430138,315.16791,65,239,354,.,310,01-11-2013,2013-11-01,111887,2013,11,4
201312,430138,327.17914,69,235,354,.,311,01-12-2013,2013-12-01,112786,2013,12,4
201401,430138,290.73166,70,225,304.98999,.,312,01-01-2014,2014-01-01,113219,2014,1,1
201402,430138,323.81613,65,244.5,354,.,313,01-02-2014,2014-02-01,108434,2014,2,1
201403,430138,331.43936,79.989998,249,399,.,314,01-03-2014,2014-03-01,111378,2014,3,1
201404,430138,303.63522,89.989998,229,299,.,315,01-04-2014,2014-04-01,110845,2014,4,2
201405,430138,309.48621,80,227,299,.,316,01-05-2014,2014-05-01,111915,2014,5,2
201406,430138,312.24744,90,225,306,.,317,01-06-2014,2014-06-01,112673,2014,6,2
201407,430138,290.13394,75,219,283.20001,.,318,01-07-2014,2014-07-01,110263,2014,7,3
201408,430138,290.34744,60,191.995,275,.,319,01-08-2014,2014-08-01,111493,2014,8,3
201409,430138,306.93625,59.990002,203.99001,275,.,320,01-09-2014,2014-09-01,111704,2014,9,3
201410,430138,290.82568,60.189999,142.495,329.98999,.,321,01-10-2014,2014-10-01,111105,2014,10,4
201411,430138,279.90625,72.290001,149.99001,299,.,322,01-11-2014,2014-11-01,111793,2014,11,4
201412,430138,295.34888,80,199,299,.,323,01-12-2014,2014-12-01,111959,2014,12,4
201501,430138,252.24673,77.494995,174.88501,261.5,.,324,01-01-2015,2015-01-01,112492,2015,1,1
201502,430138,279.21103,89.989998,199,299,.,325,01-02-2015,2015-02-01,110362,2015,2,1
201503,430138,286.74359,54.990002,179,289,.,326,01-03-2015,2015-03-01,113759,2015,3,1
201504,430138,293.09897,60,199,326,.,327,01-04-2015,2015-04-01,115935,2015,4,2
201505,430138,305.35696,60,199.99001,399.76001,.,328,01-05-2015,2015-05-01,116093,2015,5,2
201506,430138,326.99374,55,199,379,.,329,01-06-2015,2015-06-01,116584,2015,6,2
201507,430138,305.82819,89.989998,199,349,.,330,01-07-2015,2015-07-01,114886,2015,7,3
201508,430138,332.22369,59.990002,199,364,.,331,01-08-2015,2015-08-01,115736,2015,8,3
201509,430138,333.1658,60,199,345,.,332,01-09-2015,2015-09-01,115298,2015,9,3
201510,430138,334.12979,90,199,379,.,333,01-10-2015,2015-10-01,114195,2015,10,4
201511,430138,332.42499,89.989998,199,379,.,334,01-11-2015,2015-11-01,114300,2015,11,4
201512,430138,331.24728,69.989998,199,324.98999,.,335,01-12-2015,2015-12-01,114817,2015,12,4
201601,430138,316.18683,62.5,199,324.495,.,336,01-01-2016,2016-01-01,115217,2016,1,1
201602,430138,323.19855,69.989998,199,366.495,.,337,01-02-2016,2016-02-01,111438,2016,2,1
201603,430138,339.9075,69.989998,199,374.495,.,338,01-03-2016,2016-03-01,114522,2016,3,1
201604,430138,335.34628,69.989998,199,369.98999,.,339,01-04-2016,2016-04-01,116360,2016,4,2
201605,430138,347.3486,69.989998,199,369.98999,.,340,01-05-2016,2016-05-01,116741,2016,5,2
201606,430138,339.39066,69.989998,199,364,.,341,01-06-2016,2016-06-01,114788,2016,6,2
201607,430138,328.35214,49.990002,199,363.5,.,342,01-07-2016,2016-07-01,115033,2016,7,3
201608,430138,367.57147,72.494995,249.995,499,.,343,01-08-2016,2016-08-01,113719,2016,8,3
201609,430138,420.23709,115,250,499,.,344,01-09-2016,2016-09-01,114318,2016,9,3
201610,430138,342.99713,79.989998,185.7,419.75,.,345,01-10-2016,2016-10-01,114629,2016,10,4
201611,430138,343.88623,75,150,415,.,346,01-11-2016,2016-11-01,114503,2016,11,4
201612,430138,367.43436,65,150,459,.,347,01-12-2016,2016-12-01,115774,2016,12,4
201701,430138,339.36407,79.989998,248.25,352.79999,.,348,01-01-2017,2017-01-01,115625,2017,1,1
201702,430138,341.15125,71.989998,245,389.375,.,349,01-02-2017,2017-02-01,114063,2017,2,1
201703,430138,368.21329,79.989998,250,359,.,350,01-03-2017,2017-03-01,115516,2017,3,1
201704,430138,354.43701,75.989998,260.10001,499,.,351,01-04-2017,2017-04-01,116889,2017,4,2
201705,430138,359.88895,89.989998,254.5,463.47,.,352,01-05-2017,2017-05-01,117233,2017,5,2
201706,430138,371.24799,89.989998,259,480,.,353,01-06-2017,2017-06-01,117390,2017,6,2
201707,430138,326.68155,89.989998,253.25,446.94,.,354,01-07-2017,2017-07-01,117692,2017,7,3
201708,430138,341.27948,89.989998,275,449,.,355,01-08-2017,2017-08-01,117018,2017,8,3
201709,430138,369.77768,89.989998,275,480,.,356,01-09-2017,2017-09-01,117013,2017,9,3
201710,430138,329.8082,89.989998,259.54999,462,.,357,01-10-2017,2017-10-01,116488,2017,10,4
201711,430138,341.79044,89.989998,235.625,498.69,.,358,01-11-2017,2017-11-01,116285,2017,11,4
201712,430138,339.17316,54.990002,195.5,480,.,359,01-12-2017,2017-12-01,117146,2017,12,4
201801,430138,345.18695,60,249.99001,599,.,360,01-01-2018,2018-01-01,116458,2018,1,1
201802,430138,345.71762,94.989998,245,599,.,361,01-02-2018,2018-02-01,122581,2018,2,1
201803,430138,366.87717,94.989998,297,599,.,362,01-03-2018,2018-03-01,125211,2018,3,1
201804,430138,355.19992,94.989998,290,599,.,363,01-04-2018,2018-04-01,126219,2018,4,2
201805,430138,350.70203,94.989998,264,598.46997,.,364,01-05-2018,2018-05-01,126941,2018,5,2
201806,430138,354.68207,94.989998,285,549,.,365,01-06-2018,2018-06-01,126695,2018,6,2
201807,430138,330.77353,94.989998,256.5,499,.,366,01-07-2018,2018-07-01,124520,2018,7,3
201808,430138,346.7438,89.989998,295,564.5,.,367,01-08-2018,2018-08-01,124079,2018,8,3
201809,430138,347.54877,89.989998,285,549,.,368,01-09-2018,2018-09-01,124265,2018,9,3
201810,430138,352.95224,89.994995,274.04999,599,.,369,01-10-2018,2018-10-01,124191,2018,10,4
201811,430138,357.66284,89.989998,279.495,599,.,370,01-11-2018,2018-11-01,123289,2018,11,4
201812,430138,362.80399,89.989998,299,599,.,371,01-12-2018,2018-12-01,125381,2018,12,4
201901,430138,344.34402,90,279.64999,549,.,372,01-01-2019,2019-01-01,125531,2019,1,1
201902,430138,364.22659,99.989998,299,599,.,373,01-02-2019,2019-02-01,124018,2019,2,1
201903,430138,374.90186,110,299,599,.,374,01-03-2019,2019-03-01,127885,2019,3,1
201904,430138,362.31607,94.5,299,599,.,375,01-04-2019,2019-04-01,128853,2019,4,2
201905,430138,360.80734,90,299,599,.,376,01-05-2019,2019-05-01,128682,2019,5,2
201906,430138,383.00235,90,299,599,.,377,01-06-2019,2019-06-01,129075,2019,6,2
201907,430138,348.94891,90,274,599,.,378,01-07-2019,2019-07-01,128486,2019,7,3
201908,430138,347.89639,90,279,599,.,379,01-08-2019,2019-08-01,127479,2019,8,3
201909,430138,356.16913,90,299,599,.,380,01-09-2019,2019-09-01,127702,2019,9,3
201910,430138,351.89297,90,299,599,.,381,01-10-2019,2019-10-01,127514,2019,10,4
201911,430138,373.11575,90,299,599,.,382,01-11-2019,2019-11-01,127910,2019,11,4
201912,430138,385.92496,90,299,599,.,383,01-12-2019,2019-12-01,127767,2019,12,4
202001,430138,361.85263,89,299,599,.,384,01-01-2020,2020-01-01,127661,2020,1,1
202002,430138,390.09302,115,299,599,.,385,01-02-2020,2020-02-01,126570,2020,2,1
202003,430138,400.3927,110,299,599,.,386,01-03-2020,2020-03-01,118933,2020,3,1
202004,430138,289.93253,89,250,429.98999,.,387,01-04-2020,2020-04-01,74251,2020,4,2
202005,430138,304.21716,99.494995,250,429.98999,.,388,01-05-2020,2020-05-01,85259,2020,5,2
202006,430138,334.0954,80,274.5,432.48999,.,389,01-06-2020,2020-06-01,94010,2020,6,2
202007,430138,361.76776,99.989998,299,589.5,.,390,01-07-2020,2020-07-01,102371,2020,7,3
202008,430138,339.66437,60,199,350,.,391,01-08-2020,2020-08-01,112987,2020,8,3
202009,430138,346.23251,60,135,399,.,392,01-09-2020,2020-09-01,116062,2020,9,3
202010,430138,339.37885,60,219,399,.,393,01-10-2020,2020-10-01,116826,2020,10,4
202011,430138,288.81067,60,230,350,.,394,01-11-2020,2020-11-01,82553,2020,11,4
202012,430138,324.31036,69.989998,250,350,.,395,01-12-2020,2020-12-01,94790,2020,12,4
202101,430138,298.35046,60,239,350,.,396,01-01-2021,2021-01-01,94079,2021,1,1
202102,430138,305.39798,65,250,350,.,397,01-02-2021,2021-02-01,98049,2021,2,1
202103,430138,319.5892,65,129,350,.,398,01-03-2021,2021-03-01,100972,2021,3,1
202104,430138,301.38428,65,194.5,323,.,399,01-04-2021,2021-04-01,102092,2021,4,2
202105,430138,335.13953,65,129,399,.,400,01-05-2021,2021-05-01,95210,2021,5,2
202106,430138,336.33136,70,199,350,.,401,01-06-2021,2021-06-01,109408,2021,6,2
202107,430138,335.97,70,199,350,.,402,01-07-2021,2021-07-01,122056,2021,7,3
202108,430138,345.14334,79.989998,199,370,.,403,01-08-2021,2021-08-01,123477,2021,8,3
202109,430138,366.3425,70,258.5,399,.,404,01-09-2021,2021-09-01,122686,2021,9,3
202110,430138,375.24783,70,268.5,449,.,405,01-10-2021,2021-10-01,123103,2021,10,4
202111,430138,358.91336,70,199,399,.,406,01-11-2021,2021-11-01,123532,2021,11,4
202112,430138,348.07953,70,199,399,.,407,01-12-2021,2021-12-01,123086,2021,12,4
202201,430138,335.74832,85,199,359,.,408,01-01-2022,2022-01-01,123655,2022,1,1
202202,430138,315.69733,85,199,359,.,409,01-02-2022,2022-02-01,121928,2022,2,1
202203,430138,302.26877,85,169,390,.,410,01-03-2022,2022-03-01,125713,2022,3,1
202204,430138,326.35626,85,199,419,.,411,01-04-2022,2022-04-01,127157,2022,4,2
202205,430138,330.90915,85,189,419,.,412,01-05-2022,2022-05-01,127155,2022,5,2
202206,430138,328.48495,85,249.99001,399,.,413,01-06-2022,2022-06-01,127526,2022,6,2
202207,430138,322.63284,90,199,399,.,414,01-07-2022,2022-07-01,127040,2022,7,3
202208,430138,310.5748,87.5,199,394,.,415,01-08-2022,2022-08-01,125392,2022,8,3
202209,430138,311.11578,80,225,399,.,416,01-09-2022,2022-09-01,125502,2022,9,3
202210,430138,313.63531,99.989998,225,399,.,417,01-10-2022,2022-10-01,125741,2022,10,4
